config_rule,guidance,client,service,function,keys_to_get,doc_link
emr-block-public-access,"Ensure that an account with Amazon EMR has block public access settings enabled. The rule is NON_COMPLIANT if BlockPublicSecurityGroupRules is false, or if true, ports other than Port 22 are listed in Permitted PublicSecurityGroupRuleRanges.",emr,emr,describe_cluster,"EMR, BlockPublicSecurityGroupRules, Port, Permitted, PublicSecurityGroupRuleRanges",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/emr.html#EMR.Client.describe_cluster
fsx-resources-protected-by-backup-plan,Ensure that Amazon FSx File Systems are protected by a backup plan. The rule is NON_COMPLIANT if the Amazon FSx File System is not covered by a backup plan.,fsx,fsx,describe_file_systems,"FSx, File, Systems, System",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/fsx.html#FSx.Client.describe_file_systems
iam-policy-in-use,"Ensure that anIAM policy ARN is attached to an IAM user, or a group with one or more IAM users, or an IAM role with one or more trusted entity.",iam,iam,get_policy,"ARN, IAM",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/iam.html#IAM.Client.get_policy
internet-gateway-authorized-vpc-only,Ensure that internet gateways are attached to an authorized virtual private cloud (Amazon VPC). The rule is NON_COMPLIANT if internet gateways are attached to an unauthorized VPC.,ec2,ec2,describe_internet_gateways,VPC,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/ec2.html#EC2.Client.describe_internet_gateways
kinesis-stream-encrypted,Ensure that Amazon Kinesis streams are encrypted at rest with server-side encryption. The rule is NON_COMPLIANT for a Kinesis stream if 'StreamEncryption' is not present.,kinesis,kinesis,describe_stream_summary,"Kinesis, StreamEncryption",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/kinesis.html#Kinesis.Client.describe_stream_summary
lambda-function-settings-check,"Ensure that the AWS Lambda function settings for runtime, role, timeout, and memory size match the expected values. The rule ignores functions with the 'Image' package type and functions with runtime set to 'OS-onlyRuntime'. The rule is NON_COMPLIANT if the Lambda function settings do not match the expected values.",lambda,lambda,get_function_configuration,"Lambda, Image",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/lambda.html#Lambda.Client.get_function_configuration
macie-auto-sensitive-data-discovery-check,Ensure that automated sensitive data discovery is enabled for Amazon Macie. The rule is NON_COMPLIANT if automated sensitive data discovery is disabled. The rule is APPLICABLE for administr ator accounts and NOT_APPLICABLE for member accounts.,macie2,macie,get_macie_session,Macie,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/macie.html#Macie.Client.get_macie_session
macie-status-check,Ensure that Amazon Macie is enabled in your account per region. The rule is NON_COMPLIANT if the 'status' attribute is not set to 'ENABLED'.,macie2,macie,get_macie_session,"Macie, ENABLED",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/macie.html#Macie.Client.get_macie_session
mq-cloudwatch-audit-log-enabled,Ensure that an Amazon MQ broker has CloudWatch audit logging enabled. The rule is NON_COMPLIANT if the broker does not have audit logging enabled.,mq,mq,describe_broker,CloudWatch,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/mq.html#MQ.Client.describe_broker
mq-cloudwatch-audit-logging-enabled,Ensure that Amazon MQ brokers have Amazon CloudWatch audit logging enabled. The rule is NON_COMPLIANT if a broker does not have audit logging enabled.,mq,mq,describe_broker,CloudWatch,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/mq.html#MQ.Client.describe_broker
msk-in-cluster-node-require-tls,Ensure that an Amazon MSK cluster enforces encryption in transit using HTTPS (TLS) with the broker nodes of the cluster. The rule is NON_COMPLIANT if plain text communication is enabled for in- cluster broker node connections.,kafka,kafka,describe_cluster,MSK,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/kafka.html#Kafka.Client.describe_cluster
multi-region-cloudtrail-enabled,"Note: for this rule, the rule identiﬁer (MULTI_REGION_CLOUD_TRAIL_ENABLED) and rule name (multi-region-clou dtrail-enabled) are diﬀerent. Ensure that there is at leastone multi-region AWS CloudTrail. The rule is NON_COMPLIANT if the trails do not match input parameters. The rule is NON_COMPLIANT if the ExcludeManagementEventSources ﬁeld is not empty or if AWS CloudTrail is conﬁgured to exclude management events such as AWS KMS events or Amazon RDS DataAPI events.",cloudtrail,cloudtrail,get_trail,"Note, MULTI_REGION_CLOUD_TRAIL_ENABLED, CloudTrail, ExcludeManagementEventSources, KMS, RDS, DataAPI",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/cloudtrail.html#CloudTrail.Client.get_trail
nacl-no-unrestricted-ssh-rdp,Ensure that default ports for SSH/RDP ingress traﬃc for network access control lists (NACLs) are restricted. The rule is NON_COMPLIANT if a NACL inbound entry allowsa source TCP or UDP CIDR block for ports22 or 3389.,ec2,ec2,describe_network_acls,"SSH, RDP, NACLs, NACL, TCP, UDP, CIDR",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/ec2.html#EC2.Client.describe_network_acls
neptune-cluster-backup-retention-check,Ensure that an Amazon NeptuneDB cluster retention period is set to speciﬁc number of days. The rule is NON_COMPLIANT if the retention period is less than the value speciﬁed by the parameter.,neptune,neptune,describe_db_clusters,NeptuneDB,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/neptune.html#Neptune.Client.describe_db_clusters
neptune-cluster-cloudwatch-log-export-enabled,Ensure that an Amazon Neptune cluster has CloudWatch log export enabled for audit logs. The rule is NON_COMPLIANT if a Neptune cluster does not have CloudWatch log export enabled for audit logs.,neptune,neptune,describe_db_clusters,"Neptune, CloudWatch",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/neptune.html#Neptune.Client.describe_db_clusters
neptune-cluster-encrypted,Ensure that storage encryption is enabled for your Amazon Neptune DB clusters. The rule is NON_COMPLIANT if storage encryption is not enabled.,neptune,neptune,describe_db_clusters,Neptune,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/neptune.html#Neptune.Client.describe_db_clusters
neptune-cluster-iam-database-authentication,Ensure that an Amazon Neptune cluster has AWS Identity and Access Management (IAM) database authentication enabled. The rule is NON_COMPLIANT if an Amazon Neptune cluster does not have IAM database authentication enabled.,neptune,neptune,describe_db_clusters,"Neptune, Identity, Access, Management, IAM",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/neptune.html#Neptune.Client.describe_db_clusters
neptune-cluster-snapshot-encrypted,Ensure that an Amazon Neptune DB cluster has snapshots encrypted. The rule is NON_COMPLIANT if a Neptune cluster does not have snapshots encrypted.,neptune,neptune,describe_db_clusters,Neptune,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/neptune.html#Neptune.Client.describe_db_clusters
neptune-cluster-snapshot-public-prohibited,Ensure that an Amazon Neptune manual DB cluster snapshot is not public. The rule is NON_COMPLIANT if any existing and new Neptune cluster snapshot is public.,neptune,neptune,describe_db_clusters,Neptune,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/neptune.html#Neptune.Client.describe_db_clusters
netfw-logging-enabled,Ensure that AWS Network Firewall ﬁrewalls have logging enabled. The rule is NON_COMPLIANT if a logging type is not conﬁgured. You can specify which logging type you want the rule to check.,network-firewall,network-firewall,describe_firewall,"Network, Firewall, You",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/network-firewall.html#NetworkFirewall.Client.describe_firewall
netfw-policy-default-action-fragment-packets,Ensure that an AWS Network Firewall policy is conﬁgured with a user deﬁned stateless default action for fragmented packets. The rule is NON_COMPLIANT if stateless default action for fragmented packets does not match with user deﬁned default action.,network-firewall,network-firewall,describe_firewall,"Network, Firewall",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/network-firewall.html#NetworkFirewall.Client.describe_firewall
netfw-policy-default-action-full-packets,Ensure that an AWS Network Firewall policy is conﬁgured with a user deﬁned default stateless action for full packets. This rule is NON_COMPLIANT if default stateless action for full packets does not match with user deﬁned default stateless action.,network-firewall,network-firewall,describe_firewall,"Network, Firewall, This",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/network-firewall.html#NetworkFirewall.Client.describe_firewall
rds-cluster-iam-authentication-enabled,Ensure that an Amazon Relational Database Service (Amazon RDS) cluster has AWS Identity and Access Management (IAM) authentication enabled. The rule is NON_COMPLIANT if an Amazon RDS Cluster does not have IAM authentication enabled.,rds,rds,describe_db_instances,"Relational, Database, RDS, Identity, Access, Management, IAM, Cluster",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/rds.html#RDS.Client.describe_db_instances
rds-db-security-group-not-allowed,Ensure that the Amazon Relational Database Service (Amazon RDS) DB security groups is the default one. The rule is NON_COMPLIANT if there are any DB security groups that are not the defaultDB security group.,rds,rds,describe_db_instances,"Relational, Database, RDS",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/rds.html#RDS.Client.describe_db_instances
rds-in-backup-plan,Ensure that Amazon Relational Database Service (Amazon RDS) databases are present in AWS Backup plans. The rule is NON_COMPLIANT if Amazon RDS databases are not included in any AWS Backup plan.,rds,rds,describe_db_instances,"Relational, Database, RDS, Backup",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/rds.html#RDS.Client.describe_db_instances
rds-instance-iam-authentication-enabled,Ensure that an Amazon Relational Database Service (Amazon RDS) instance has AWS Identity and Access Management (IAM) authentication enabled. The rule is NON_COMPLIANT if an Amazon RDS instance does not have IAM authentication enabled.,rds,rds,describe_db_instances,"Relational, Database, RDS, Identity, Access, Management, IAM",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/rds.html#RDS.Client.describe_db_instances
rds-resources-protected-by-backup-plan,Ensure that Amazon Relational Database Service (Amazon RDS) instances are protected by a backup plan. The rule is NON_COMPLIANT if the Amazon RDS Database instance is not covered by a backup plan.,rds,rds,describe_db_instances,"Relational, Database, RDS",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/rds.html#RDS.Client.describe_db_instances
redshift-backup-enabled,Ensure that Amazon Redshift automated snapshots are enabled for clusters. The rule is NON_COMPLIANT if the value for automated SnapshotRetentionP eriod is greater than MaxRetentionPeriod or less than MinRetentionPeriod or the value is 0.,redshift,redshift,describe_clusters,"Redshift, SnapshotRetentionP, MaxRetentionPeriod, MinRetentionPeriod",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/redshift.html#Redshift.Client.describe_clusters
redshift-cluster-kms-enabled,Ensure that Amazon Redshift clusters are using a speciﬁed AWS Key Management Service (AWS KMS)key for encryption. The rule is COMPLIANT if encryption is enabled and the cluster is encrypted with the key provided in the kmsKeyArn parameter. The rule is NON_COMPLIANT if the cluster is not encrypted or encrypted with another key.,redshift,redshift,describe_clusters,"Redshift, Management, KMS",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/redshift.html#Redshift.Client.describe_clusters
redshift-enhanced-vpc-routing-enabled,Ensure that Amazon Redshift clusters have 'enhancedVpcRouting' enabled. The rule is NON_COMPLIANT if 'enhancedVpcRouting' is not enabled or if the conﬁgura tion.enhancedVpcRo uting ﬁeld is 'false'.,redshift,redshift,describe_clusters,Redshift,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/redshift.html#Redshift.Client.describe_clusters
restricted-ssh,"Note: For this rule, the rule identiﬁer (INCOMING_SSH_DISABLED) and rule name (restricted-ssh) are diﬀerent. Ensure that the incomingSSH traﬃc for the security groups is accessible. The rule is COMPLIANT if the IP addresses of the incoming SSH traﬃc in the security groups are restricted (CIDR other than 0.0.0.0/0 or ::/0). Otherwise, NON_COMPLIANT.",unknown,unknown,unknown,"Note, For, INCOMING_SSH_DISABLED, SSH, CIDR, Otherwise",
s3-access-point-public-access-blocks,Ensure that Amazon S3 access points have block public access settings enabled. The rule is NON_COMPLIANT if block public access settings are not enabled for S3 access points.,s3,s3,get_bucket_encryption,,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/s3.html#S3.Client.get_bucket_encryption
s3-account-level-public-access-blocks,Ensure that the required public access block settings are conﬁgured from account level. The rule is only NON_COMPLIANT when the ﬁelds set below do not match the corresponding ﬁelds in the conﬁguration item.,s3,s3,get_bucket_encryption,,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/s3.html#S3.Client.get_bucket_encryption
s3-bucket-blacklisted-actions-prohibited,"Ensure that an Amazon Simple Storage Service (Amazon S3) bucket policy does not allow blocklisted bucket-level and object-level actions on resources in the bucket for principals from other AWS accounts. For example, the rule checks that the Amazon S3 bucket policy does not allow another AWS account to perform any s3:GetBucket* actions and s3:DeleteObject on any object in the bucket. The rule is NON_COMPLIANT if any blocklisted actions are allowed by the Amazon S3 bucket policy.",s3,s3,get_bucket_encryption,"Simple, Storage, For, GetBucket, DeleteObject",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/s3.html#S3.Client.get_bucket_encryption
s3-bucket-default-lock-enabled,"Ensure that the S3 bucket has lock enabled, by default. The rule is NON_COMPLIANT if the lock is not enabled.",s3,s3,get_bucket_encryption,,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/s3.html#S3.Client.get_bucket_encryption
s3-bucket-mfa-delete-enabled,Ensure that MFA Delete is enabled in the Amazon Simple Storage Service (Amazon S3) bucket versioning conﬁgura tion. The rule is NON_COMPLIANT if MFA Delete is not enabled.,s3,s3,get_bucket_encryption,"MFA, Delete, Simple, Storage",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/s3.html#S3.Client.get_bucket_encryption
s3-bucket-policy-not-more-permissive,Ensure that your Amazon Simple Storage Service (S3) bucket policies do not allow other inter- account permissions than the control Amazon S3 bucket policy that you provide.,s3,s3,get_bucket_encryption,"Simple, Storage",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/s3.html#S3.Client.get_bucket_encryption
s3-bucket-versioning-enabled,"Ensure that versioning is enabled for yourS3 buckets. Optionally, the rule checks if MFA delete is enabled for your S3 buckets.",s3,s3,get_bucket_encryption,"Optionally, MFA",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/s3.html#S3.Client.get_bucket_encryption
s3-resources-protected-by-backup-plan,Ensure that Amazon Simple Storage Service (Amazon S3) buckets are protected by a backup plan. The rule is NON_COMPLIANT if the Amazon S3 bucket is not covered by a backup plan.,s3,s3,get_bucket_encryption,"Simple, Storage",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/s3.html#S3.Client.get_bucket_encryption
secretsmanager-scheduled-rotation-success-check,Ensure that AWS Secrets Manager secrets rotated successfully according to the rotation schedule. Secrets Manager calculates the date the rotation should happen. The rule is NON_COMPLIANT if the date passes and the secret isn't rotated.,secretsmanager,secretsmanager,describe_secret,Secrets,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/secretsmanager.html#SecretsManager.Client.describe_secret
secretsmanager-secret-periodic-rotation,Ensure that AWS Secrets Manager secrets have been rotated in the past speciﬁed numberof days. The rule is NON_COMPLIANT if a secret has not been rotated for more than maxDaysSinceRotati on number of days. the default value is 90 days.,secretsmanager,secretsmanager,describe_secret,"Secrets, the default",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/secretsmanager.html#SecretsManager.Client.describe_secret
secretsmanager-secret-unused,Ensure that AWS Secrets Manager secrets have been accessed within a speciﬁed numberof days. The rule is NON_COMPLIANT if a secret has not been accessed in 'unusedForDays' number of days. the default value is 90 days.,secretsmanager,secretsmanager,describe_secret,"Secrets, the default",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/secretsmanager.html#SecretsManager.Client.describe_secret
security-account-information-provided,Ensure that you have provided security contact information for your AWS account contacts. The rule is NON_COMPLIANT if security contact information within the account is not provided.,unknown,unknown,unknown,,
service-catalog-shared-within-organization,Ensure that AWS Service Catalog shares portfolios to an organization (a collection of AWS accounts treated asa single unit) when integration is enabled with AWS Organizat ions. The rule is NON_COMPLIANT if the `Type` value of a share is `ACCOUNT`.,unknown,unknown,unknown,"Catalog, Organizat, ACCOUNT",
shield-drt-access,Ensure that the Shield Response Team (SRT) can access your AWS account. The rule is NON_COMPLIANT if AWS Shield Advanced is enabled but the role for SRT access is not conﬁgured.,shield,shield,describe_subscription,"Shield, Response, Team, SRT, Advanced",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/shield.html#Shield.Client.describe_subscription
sns-topic-message-delivery-notiﬁcation-enabled,Ensure that Amazon Simple Notiﬁcation Service (SNS) logging is enabled for the delivery status of notiﬁcation messages sent to a topic for the endpoints. The rule is NON_COMPLIANT if the delivery status notiﬁcation for messages is not enabled.,sns,sns,get_topic_attributes,"Simple, SNS",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/sns.html#SNS.Client.get_topic_attributes
step-functions-state-machine-logging-enabled,Ensure that AWS Step Functions machine has logging enabled. The rule is NON_COMPLIANT if a state machine does not have logging enabled or the logging conﬁguration is not at the minimum level provided.,stepfunctions,stepfunctions,describe_state_machine,"Step, Functions",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/stepfunctions.html#StepFunctions.Client.describe_state_machine
transfer-family-server-no-ftp,Ensure that a server created with AWS Transfer Family does not use FTP for endpoint connection. The rule is NON_COMPLIANT if the server protocol for endpoint connection is FTP-enabled.,transfer,awstransfer,describe_server,"Transfer, Family, FTP",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/awstransfer.html#Awstransfer.Client.describe_server
waf-classic-logging-enabled,"Ensure that logging is enabled on AWS WAF classic global web access control lists (web ACLs). The rule is NON_COMPLIANT for a global web ACL, if it does not have logging enabled.",waf,waf,get_logging_configuration,"WAF, ACLs, ACL",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/waf.html#WAF.Client.get_logging_configuration
waf-global-rule-not-empty,Ensure that an AWS WAF global rule contains some conditions. The rule is NON_COMPLIANT if no conditions are present within the WAF global rule.,waf,waf,get_web_acl,WAF,https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/waf.html#WAF.Client.get_web_acl
waf-global-rulegroup-not-empty,Ensure that an AWS WAF Classic rule group contains some rules. The rule is NON_COMPLIANT if there are no rules present within a rule group.,waf,waf,get_web_acl,"WAF, Classic",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/waf.html#WAF.Client.get_web_acl
waf-global-webacl-not-empty,Ensure that a WAF Global Web ACL contains someWAF rules or rule groups. This rule is NON_COMPLIANT if a Web ACL does not contain any WAF rule or rule group.,waf,waf,get_web_acl,"WAF, Global, Web, ACL, This",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/waf.html#WAF.Client.get_web_acl
wafv2-rulegroup-logging-enabled,Ensure that Amazon CloudWatch security metrics collection on AWS WAFv2 rule groups is enabled. The rule is NON_COMPLIANT if the 'VisibilityConﬁg.CloudWatchMetricsEnabled' ﬁeld is set to false.,wafv2,wafv2,get_logging_configuration,"CloudWatch, WAFv2, CloudWatchMetricsEnabled",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/wafv2.html#WAFV2.Client.get_logging_configuration
wafv2-rulegroup-not-empty,Ensure that WAFv2 Rule Groups contain rules. The rule is NON_COMPLIANT if there are no rules in a WAFv2 Rule Group.,wafv2,wafv2,get_logging_configuration,"WAFv2, Rule, Groups, Group",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/wafv2.html#WAFV2.Client.get_logging_configuration
wafv2-webacl-not-empty,Ensure that a WAFv2Web ACL containsany WAF rules or WAF rule groups. This rule is NON_COMPLIANT if a Web ACL does not contain any WAF rules or WAF rule groups.,wafv2,wafv2,get_logging_configuration,"WAFv2Web, ACL, WAF, This, Web",https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/wafv2.html#WAFV2.Client.get_logging_configuration
